X,Y_0,Y_1,W,V_0,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8
3,,,0.001380978,5,80.25,1,9,,2,1,58111,1
3,,,0.004247509,6,97.2,1,9,,1,1,22884,7
1,,,0.00170659,5,113.42,1,9,,2,2,66460,1
1,,,0.001316391,5,113.54,1,9,,3,3,86251,1
1,,,0.004587152,5,114.61,4,9,,4,2,24985,3
1,,,0.002355022,5,121.83,1,9,,1,1,51732,6
3,,,0.002077371,5,123.4,1,9,,2,1,59402,1
1,,,0.003677963,5,123.94,2,9,,2,1,33698,1
1,,,0.00163862,5,124.93,1,9,,4,2,76241,3
1,,,0.012368654,5,125.95,4,9,,1,1,10183,6
1,,,0.002118211,5,125.97,1,9,,2,1,59470,1
1,,,0.003806015,5,126.04,2,9,,3,2,33116,1
1,,,0.005549741,5,126.19,1,9,,1,1,22738,6
3,,,0.004841173,5,127.41,4,9,,5,2,26318,3
1,,,0.002607558,5,129.58,2,9,,2,1,49694,1
1,,,0.003182598,5,129.78,2,7,,4,2,40778,3
1,,,0.002437427,5,130.59,1,9,,2,1,53577,1
1,,,0.006930316,5,134.76,1,9,,2,1,19445,4
1,,,0.002663338,5,134.97,1,9,,2,2,50677,5
1,,,0.007816364,5,135.27,1,9,,2,1,17306,4
1,,,0.003489534,5,136.87,4,9,,3,2,39223,3
1,,,0.005212544,5,137.46,1,9,,2,1,26371,1
1,,,0.016029497,5,138.03,1,9,,1,1,8611,6
1,,,0.003743673,5,138.31,2,9,,3,2,36945,3
2,,,0.00182259,5,139.08,2,9,,4,2,76309,3
1,,,0.002518654,5,140.42,1,9,,2,2,55752,5
2,,,0.008129162,5,141.61,3,8,,2,1,17420,4
2,,,0.008948992,5,142.11,2,6,,1,3,15880,6
1,,,0.002256692,5,142.72,2,9,,3,3,63243,3
3,,,0.002359937,5,142.88,1,9,,1,2,60544,6
1,,,0.003445684,5,143.94,2,9,,2,2,41774,1
1,,,0.003454323,5,144.18,1,9,,2,1,41739,1
3,,,0.002391164,5,144.4,1,9,,1,3,60389,6
1,,,0.008379782,5,145.23,2,9,,1,2,17331,6
1,,,0.004149076,5,145.45,1,9,,2,2,35056,2
