X,Y_0,Y_1,W,F_p,V_0,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8
2,12308.7,18.867,7,0,2,624.1,4,9,1,1,4,2,7
1,13711.6,18.9721,6,0,3,622.5,1,3,0,4,4,3,3
1,8129.7,19.2396,3,0,1,369.1,3,5,0,4,3,4,4
1,12491.6,18.882,2,0,1,567.1,1,1,1,2,5,5,2
1,7780.2,19.1103,4,0,2,394.5,2,4,0,1,2,2,6
2,16743.8,19.0546,3,0,3,848.9,2,9,0,2,2,4,1
1,7914.4,19.178,2,0,1,359.3,4,7,0,1,1,3,7
2,14163.6,18.9395,2,0,3,643.0,1,4,0,3,5,6,3
1,15295.2,19.138,6,0,3,775.5,3,4,0,3,3,3,3
2,12283.6,19.0338,5,0,4,557.7,2,9,0,2,3,2,4
1,15204.0,19.1878,9,0,2,770.8,2,5,0,2,4,2,1
1,13079.4,19.1384,5,0,1,663.1,2,5,0,4,3,3,3
2,12798.4,19.1531,3,0,1,581.0,3,5,0,2,2,3,5
1,11923.1,19.1722,3,0,5,604.5,3,5,0,1,2,3,7
1,15755.6,18.8899,5,0,4,715.3,1,6,1,2,5,3,2
1,13216.1,19.103,7,0,2,670.1,3,5,0,2,3,2,5
1,23282.7,18.7132,3,0,4,1057.0,1,1,1,2,5,5,2
1,11889.7,19.0685,4,0,2,602.8,2,4,0,2,3,3,1
1,7433.3,19.246,3,0,2,376.9,4,7,0,2,4,3,2
2,13904.0,19.0876,4,0,3,704.9,4,5,0,5,3,3,3
2,7479.7,19.1834,2,0,3,339.6,3,5,0,1,2,2,7
1,12852.7,19.098,9,0,1,651.6,1,8,0,1,2,1,7
2,14230.4,18.9704,1,0,4,646.1,1,6,0,2,3,5,1
2,9116.5,19.1434,3,0,5,413.9,4,5,0,3,2,3,1
2,7722.6,19.1684,4,0,1,391.5,3,7,0,5,3,3,3
2,6346.8,18.8216,5,0,3,288.1,1,5,1,1,3,1,6
1,13706.6,19.1534,7,0,3,694.9,3,5,0,3,3,2,4
1,16525.4,19.0616,2,0,2,750.3,1,2,0,3,3,5,3
1,9838.2,19.1514,6,0,3,446.7,2,5,0,2,2,2,1
2,14671.8,18.9563,4,0,2,666.1,1,9,0,1,2,3,7
2,11808.2,18.9425,16,1,5,598.7,4,8,1,1,4,1,6
1,13637.6,19.0839,1,0,2,619.1,1,3,0,2,3,6,1
2,8815.1,19.0047,5,0,2,446.9,2,3,0,4,2,3,4
1,12749.0,19.1238,4,0,3,646.4,2,5,0,4,3,3,3
1,8457.4,18.7521,2,0,4,428.8,1,8,1,4,5,6,3
2,10759.4,18.8704,4,0,3,545.5,2,5,1,2,5,3,2
2,3014.9,18.8427,2,0,4,136.9,1,9,1,2,5,3,2
1,10238.4,19.1556,6,0,2,519.1,2,3,0,3,3,2,4
1,23212.1,18.9365,7,0,4,1053.8,1,5,1,3,5,3,2
1,11730.1,19.0963,5,0,1,532.5,1,6,0,3,3,3,4
2,16335.7,18.8733,8,0,1,741.6,1,6,1,1,3,2,7
1,15651.8,19.1005,4,0,2,710.6,2,3,0,4,2,3,3
1,14281.6,19.1574,5,0,2,724.1,2,2,0,3,3,3,4
1,10998.0,19.0064,5,0,2,499.3,2,3,0,2,3,2,4
1,12961.9,18.9509,2,0,1,588.5,1,3,0,2,3,5,1
1,13516.5,19.2716,10,1,2,685.3,3,4,0,3,2,2,4
1,16790.8,19.0708,2,0,2,762.3,1,5,0,2,4,6,1
2,14783.0,19.2132,6,0,5,749.5,4,8,0,2,2,2,2
1,17541.6,18.7594,1,0,3,796.4,1,3,1,4,5,9,3
1,16327.8,18.7557,3,0,3,741.3,1,3,1,1,5,4,6
1,10354.3,18.814,2,0,1,470.1,1,4,1,3,5,5,2
2,16341.9,19.0553,3,0,1,741.9,1,6,0,3,3,4,5
1,10513.2,19.1057,9,0,1,533.0,2,4,0,4,3,2,3
2,10809.5,19.1297,6,0,1,548.0,4,6,0,1,2,2,7
2,15382.7,19.1574,4,0,2,779.9,3,7,0,4,4,4,3
2,12305.2,19.1832,6,0,3,623.9,4,4,0,4,4,2,4
1,15348.1,18.9826,2,0,3,696.8,1,4,0,4,3,6,3
2,14550.9,18.9539,6,0,1,737.7,1,9,0,3,3,2,4
2,12375.6,19.127,6,0,5,561.9,2,4,0,2,2,2,4
2,14304.6,18.8012,7,0,3,725.2,1,5,1,1,4,2,7
1,12948.9,19.2152,5,0,2,587.9,2,6,0,4,3,3,3
1,6824.1,19.3106,4,0,5,309.8,4,7,0,1,1,2,7
2,10968.3,18.9967,4,0,4,498.0,1,5,0,2,4,3,2
2,13601.3,18.8554,3,0,5,617.5,1,7,1,2,4,4,2
1,12794.8,18.8758,4,0,3,580.9,1,2,1,2,5,2,2
1,13555.0,19.2019,4,0,6,687.2,2,1,0,2,1,3,4
1,4154.6,19.1434,2,0,6,210.6,4,2,0,1,1,2,7
2,11557.7,19.1209,6,0,1,586.0,4,9,0,2,4,2,1
2,13920.5,18.9608,3,0,3,632.0,1,6,0,3,4,4,1
1,12455.3,18.8019,2,0,2,631.5,1,3,1,1,3,5,6
2,14509.6,19.0933,4,0,5,658.7,2,7,0,1,2,3,6
1,10558.7,19.3259,5,0,2,535.3,4,6,0,5,3,3,4
1,13745.5,19.1218,5,0,3,696.9,3,4,0,5,3,3,3
2,15042.3,19.0541,5,0,2,762.6,3,5,0,2,3,2,5
1,9588.0,19.0628,2,0,6,486.1,2,2,0,2,1,4,1
2,9590.4,19.2392,6,0,5,486.2,4,8,0,1,2,2,7
2,14958.6,18.7257,5,0,3,679.1,1,4,1,1,3,2,7
1,6917.5,19.1709,3,0,5,350.7,2,6,0,2,3,3,1
1,8900.3,19.0819,4,0,3,404.1,1,4,0,2,3,2,4
1,9566.7,19.0008,6,0,4,434.3,2,7,1,2,5,2,2
2,12959.3,19.0774,2,0,2,588.4,3,4,0,2,2,4,5
