X,Y_0,Y_1,W,V_0,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8
2,14641.8,18.9523,0.0817,2,742.3,4,9,1,1,4,13560,7
1,12114.2,18.9854,0.0592,3,550.0,1,3,0,4,4,22297,3
1,12048.9,19.2153,0.0361,1,547.0,3,5,0,4,3,33470,4
1,18776.8,18.8499,0.0323,1,852.5,1,1,1,2,5,46040,2
1,8656.0,19.2136,0.0495,2,438.9,2,4,0,1,2,13836,6
2,16901.7,19.0613,0.0396,3,856.9,2,9,0,2,2,32230,1
1,7530.8,19.1702,0.0258,1,341.9,4,7,0,1,1,25443,7
2,15025.8,18.9137,0.0234,3,682.2,1,4,0,3,5,55292,3
1,6974.1,19.164,0.0472,3,353.6,3,4,0,3,3,21044,3
2,12101.0,19.0475,0.0587,4,549.4,2,9,0,2,3,15795,4
1,13297.1,19.2619,0.0841,2,674.2,2,5,0,2,4,13079,1
1,16359.5,19.1144,0.0576,1,829.4,2,5,0,4,3,27009,3
2,4531.9,19.1952,0.0226,1,205.7,3,5,0,2,2,26192,5
1,7790.2,19.1603,0.0279,5,395.0,3,5,0,1,2,20913,7
1,14285.8,18.885,0.0532,4,648.6,1,6,1,2,5,25176,2
1,14448.3,19.1025,0.0769,2,732.5,3,5,0,2,3,13057,5
1,10418.8,18.792,0.0226,4,473.0,1,1,1,2,5,44936,2
1,14968.3,19.1715,0.0513,2,758.9,2,4,0,2,3,23415,1
1,16674.2,19.2283,0.0559,2,845.4,4,7,0,2,4,25260,2
2,10944.1,19.1287,0.044,3,554.9,4,5,0,5,3,29441,3
2,13207.4,19.0998,0.0382,3,599.6,3,5,0,1,2,18112,7
1,13453.9,19.1889,0.0936,1,682.1,1,8,0,1,2,9037,7
2,13637.7,19.0468,0.0176,4,619.2,1,6,0,2,3,45732,1
2,10682.5,19.168,0.0353,5,485.0,4,5,0,3,2,28030,1
2,6060.5,19.0341,0.0413,1,307.3,3,7,0,5,3,23798,3
2,18842.0,18.7779,0.1168,3,855.4,1,5,1,1,3,9679,6
1,7780.7,19.1148,0.0567,3,394.5,3,5,0,3,3,17001,4
1,14873.9,19.0923,0.024,2,675.3,1,2,0,3,3,49281,3
1,13282.6,19.183,0.0765,3,603.0,2,5,0,2,2,13126,1
2,8495.2,18.9804,0.0283,2,385.7,1,9,0,1,2,23628,7
2,10674.0,18.9239,0.1958,5,541.2,4,8,1,1,4,4731,6
1,15780.3,19.0813,0.0205,2,716.4,1,3,0,2,3,56151,1
2,8143.1,18.9794,0.0499,2,412.9,2,3,0,4,2,20298,4
1,17746.4,19.1497,0.057,3,899.7,2,5,0,4,3,25534,3
1,17942.0,18.8318,0.0345,4,909.7,1,8,1,4,5,50649,3
2,10106.3,18.8721,0.0436,3,512.4,2,5,1,2,5,23855,2
2,12320.2,18.8887,0.0421,4,559.3,1,9,1,2,5,28319,2
1,6137.2,19.1151,0.0548,2,311.2,2,3,0,3,3,17926,4
1,9674.2,19.0304,0.0494,4,439.2,1,5,1,3,5,21887,2
1,16889.1,19.1527,0.0639,1,766.8,1,6,0,3,3,20526,4
2,15015.6,18.8268,0.0767,1,681.7,1,6,1,1,3,12905,7
1,12042.4,19.0656,0.0391,2,546.7,2,3,0,4,2,27929,3
1,12705.8,19.0615,0.0544,2,644.2,2,2,0,3,3,21157,4
1,15375.7,19.0934,0.0721,2,698.1,2,3,0,2,3,15154,4
1,5813.9,19.0388,0.0162,1,264.0,1,3,0,2,3,45304,1
1,10688.9,19.328,0.0934,2,541.9,3,4,0,3,2,11123,4
1,10420.2,19.1027,0.016,2,473.1,1,5,0,2,4,56341,1
2,12356.8,19.0876,0.0619,5,626.5,4,8,0,2,2,16434,2
1,13563.0,18.8444,0.0166,3,615.8,1,3,1,4,5,86788,3
1,14795.2,18.7775,0.0284,3,671.7,1,3,1,1,5,38346,6
1,10269.3,18.8531,0.0216,1,466.2,1,4,1,3,5,49881,2
2,5479.7,19.0165,0.0227,1,248.8,1,6,0,3,3,33628,5
1,7780.6,19.0766,0.0865,1,394.5,2,4,0,4,3,11657,3
2,7723.8,19.0777,0.0483,1,391.6,4,6,0,1,2,11602,7
2,14874.1,19.1238,0.0451,2,754.1,3,7,0,4,4,31554,3
2,13522.0,19.2291,0.0656,3,685.6,4,4,0,4,4,19964,4
1,14387.8,19.0973,0.0239,3,653.2,1,4,0,4,3,51129,3
2,8575.2,19.0375,0.0525,1,434.8,1,9,0,3,3,18146,4
2,6537.2,19.1209,0.0484,5,296.8,2,4,0,2,2,15262,4
2,16373.8,18.8259,0.0838,3,830.2,1,5,1,1,4,11191,7
1,8307.7,19.0948,0.0443,2,377.2,2,6,0,4,3,23653,3
1,5693.9,19.2675,0.0449,5,258.5,4,7,0,1,1,12919,7
2,14765.6,18.9068,0.0516,4,670.4,1,5,0,2,4,21622,2
2,14341.2,18.8358,0.0316,5,651.1,1,7,1,2,4,35107,2
1,17725.2,18.8023,0.0599,3,804.7,1,2,1,2,5,18496,2
1,11971.0,19.0185,0.0447,6,606.9,2,1,0,2,1,21633,4
1,4689.5,19.2573,0.0272,6,237.8,4,2,0,1,1,13680,7
2,13865.7,19.0466,0.0728,1,703.0,4,9,0,2,4,15546,1
2,13491.2,18.9472,0.0328,3,612.5,1,6,0,3,4,35380,1
1,14299.3,18.796,0.0235,2,725.0,1,3,1,1,3,45476,6
2,3989.8,19.1479,0.0216,5,181.1,2,7,0,1,2,22244,6
1,17404.4,19.2159,0.0666,2,882.4,4,6,0,5,3,22803,4
1,12657.9,19.2046,0.0518,3,641.8,3,4,0,5,3,25350,3
2,9074.4,19.0943,0.0396,2,460.1,3,5,0,2,3,18904,5
1,11456.6,19.1367,0.0246,6,580.8,2,2,0,2,1,37651,1
2,9439.2,19.2512,0.0652,5,478.6,4,8,0,1,2,12316,7
2,13776.1,18.8901,0.0477,3,625.4,1,4,1,1,3,19609,7
1,12352.2,19.1318,0.0454,5,626.3,2,6,0,2,3,24965,1
1,18555.2,19.0514,0.0655,3,842.4,1,4,0,2,3,19022,4
1,19354.3,18.9254,0.0954,4,878.7,2,7,1,2,5,14701,2
2,12544.0,19.2136,0.0284,2,569.5,3,4,0,2,2,33141,5
1,5888.4,19.1578,0.0377,6,298.5,2,2,0,2,2,19640,5
2,14145.8,19.0646,0.0219,2,717.2,4,9,0,5,5,68969,3
1,13371.5,18.753,0.0618,3,607.1,1,4,1,1,3,14809,7
1,15878.8,18.8018,0.0194,3,720.9,1,2,1,4,5,87725,3
2,15294.7,18.9848,0.026,5,694.4,1,9,0,2,3,41796,1
2,14845.1,18.8533,0.0269,3,674.0,1,6,1,2,4,42523,2
1,15341.8,18.9742,0.0715,3,696.5,1,4,1,2,5,16275,2
1,6316.8,19.1389,0.0368,5,320.3,4,3,0,2,2,19594,5
1,16628.7,19.0768,0.0549,3,754.9,1,5,0,4,4,27294,3
2,11225.7,19.1584,0.0209,5,509.6,2,9,0,1,2,39674,6
1,11514.2,19.1133,0.0661,2,583.8,2,3,0,3,4,17632,4
2,15914.2,18.7902,0.0353,4,722.5,1,9,1,2,4,34866,2
1,17091.1,18.8337,0.0391,3,775.9,1,2,1,2,5,32276,1
1,18681.0,18.9677,0.02,4,848.1,1,2,0,4,5,78398,3
1,9176.0,18.9864,0.078,5,465.2,3,5,1,1,2,10114,6
1,6630.3,19.2444,0.0376,2,336.2,3,4,0,5,3,26118,4
1,10018.6,19.1327,0.0419,2,454.8,4,4,0,5,3,29357,3
2,10103.7,19.0679,0.0453,1,512.3,3,5,0,4,4,25791,3
1,3418.4,19.2496,0.035,5,155.2,2,6,0,4,3,20514,3
2,13028.1,19.0468,0.0316,2,591.5,1,5,0,4,3,36537,3
1,12074.0,19.1896,0.0344,3,548.2,1,6,0,3,3,30799,3
1,11328.7,19.1175,0.0543,2,574.4,2,4,0,2,2,19551,1
1,12008.3,19.0851,0.0312,5,608.8,1,4,0,2,3,34862,1
1,19163.3,19.2004,0.053,3,870.0,4,6,0,4,3,26138,3
2,6169.7,18.9858,0.0248,2,280.1,1,9,0,3,4,34235,3
2,8845.4,19.1305,0.1133,2,448.5,3,5,0,1,1,5232,7
2,11656.2,19.2038,0.1034,1,591.0,3,5,0,2,2,10620,5
1,10547.5,18.922,0.0163,3,478.9,1,4,1,2,4,58056,1
1,8031.3,19.2418,0.0705,2,407.2,4,6,0,3,2,12775,3
2,9925.7,18.8739,0.0338,3,450.6,1,6,1,2,4,26954,2
1,9793.0,18.956,0.0327,2,444.6,1,3,0,2,3,27477,1
1,10931.7,19.2009,0.0663,2,554.2,4,9,0,2,2,15948,4
1,3529.1,19.0945,0.0673,2,178.9,4,2,0,2,2,9675,1
1,13932.8,19.268,0.039,5,632.5,2,8,0,1,1,22993,6
1,17035.4,18.8136,0.0174,4,773.4,1,3,1,2,5,78678,1
1,7601.1,19.0308,0.0508,5,345.1,3,8,1,1,3,12692,7
1,8031.3,19.0834,0.0181,3,364.6,4,8,0,2,2,44564,2
2,10818.3,19.2221,0.0596,2,548.5,4,6,0,2,2,16479,4
1,14605.4,18.8371,0.0473,2,663.1,4,4,1,1,3,17839,7
1,12770.6,18.9708,0.016,3,579.8,1,4,1,2,5,72519,1
2,13194.5,19.1081,0.0357,2,669.0,4,7,0,5,5,40505,4
2,9290.8,19.1173,0.0651,2,421.8,4,6,0,3,3,14644,1
2,12639.0,18.9919,0.0846,2,573.8,1,6,0,2,3,11725,2
1,10786.2,19.1518,0.0408,2,546.9,3,5,0,5,4,32139,3
2,10380.6,19.0895,0.0226,3,471.3,1,5,0,4,4,48766,3
1,9184.0,19.2397,0.0771,2,465.6,4,5,0,2,3,11589,4
2,15961.2,18.966,0.0177,3,809.2,1,5,0,4,3,78735,2
2,13983.8,18.867,0.0213,4,709.0,1,9,1,2,5,61977,1
2,8413.4,19.1659,0.0649,2,426.6,4,7,0,2,3,13165,4
2,13044.1,19.1312,0.0609,2,661.3,3,6,0,1,2,15689,7
1,15764.4,18.741,0.0701,3,799.3,1,3,1,1,3,17302,7
1,13360.3,19.2892,0.0437,5,677.4,3,5,0,3,2,25608,3
1,11491.7,18.7557,0.0537,4,521.7,2,9,1,1,5,17736,6
2,20926.8,18.979,0.0502,3,950.1,1,6,0,3,3,30577,1
2,9845.3,18.9136,0.026,2,447.0,2,6,1,1,4,32313,6
1,13215.2,18.9224,0.0211,2,600.0,1,6,1,2,5,52778,1
2,11836.8,19.094,0.0761,2,600.1,4,9,0,3,3,16106,4
2,16792.8,19.1178,0.0491,4,762.4,4,9,0,2,3,22333,5
2,6821.7,19.0628,0.0574,5,345.9,4,6,0,1,2,11128,7
1,12661.1,19.2447,0.0415,2,641.9,2,6,0,4,3,25976,4
2,11342.1,19.0219,0.1047,2,575.0,2,2,0,2,2,9401,1
2,13409.6,19.1908,0.0689,3,679.9,4,7,0,3,3,17456,4
1,13803.0,18.9998,0.1182,5,699.8,4,8,1,1,3,8803,6
1,13318.6,18.907,0.0259,2,604.7,2,3,1,2,4,42106,1
2,8254.2,19.1396,0.0768,5,418.5,4,6,0,1,1,7740,7
2,15172.6,19.0449,0.0213,3,688.8,1,5,0,3,3,55704,1
2,14157.9,19.0489,0.0566,3,717.8,4,8,0,1,1,18082,7
2,11933.2,19.0111,0.062,3,541.8,1,5,0,1,2,13286,7
1,15357.9,19.0706,0.0136,2,778.6,1,5,0,4,3,100000,3
2,12222.6,18.6865,0.0684,4,554.9,1,7,1,1,5,14385,7
