,,W,W,W,W,W,W,W,W,W,W,W,W,W
,,1,10,11,12,13,2,3,4,5,6,7,8,9
Y_0,X,,,,,,,,,,,,,
1,1,0.06328315313389662,0.0817402208326294,0.08221589690896108,0.08274332448581334,0.08181916667486804,0.06406177883094548,0.06579349842761711,0.06940827231241697,0.07340417548939959,0.07601372816516244,0.07808874907090237,0.07993105165915004,0.08146996615593065
1,2,0.05918160800396335,0.08223086951284724,0.08298977331458418,0.08319362653214309,0.08279591891138194,0.05845695382680281,0.06258417763475262,0.06593196033052044,0.07219115216506472,0.07511823205834396,0.07928864716854823,0.08120344192302223,0.08187993613156148
10,1,0.06568236554602877,0.0817402208326294,0.08245993129880899,0.08342129438824425,0.08349022153623124,0.06710857921675124,0.06942783157330737,0.0705045665704332,0.07644024319791703,0.07620767593167395,0.08081646226214155,0.0803214830887953,0.081548664921208
10,2,0.05540246723522167,0.08232619308980102,0.08298977331458418,0.08319362653214307,0.08279591891138194,0.05834086524681518,0.06247463173560942,0.06599684784201477,0.07219115216506472,0.07511823205834398,0.07928864716854823,0.08120344192302223,0.08187993613156148
11,1,0.06515340865729388,0.08235213494950368,0.08236344196410962,0.08317063669161812,0.08282758419491475,0.06746988927906321,0.06662963447767153,0.07068399444841306,0.07407394834684715,0.07673863957002817,0.07841631240467592,0.07993105165915006,0.0827581377070011
11,2,0.05507888761192719,0.08223086951284724,0.08298977331458418,0.08319362653214307,0.08279591891138194,0.05819054807694943,0.0629473199001877,0.06593196033052043,0.07219115216506473,0.07511823205834396,0.07945035602575261,0.08120344192302223,0.08187993613156148
12,1,0.0657217774818179,0.08234811808155451,0.08261104690097328,0.0833508895805841,0.08370670545309253,0.06758094868219339,0.06874682348956887,0.07111492217293287,0.07471301972159324,0.07795523730524241,0.07952419445900703,0.08026087191831525,0.08231278295729279
12,2,0.055078887611927196,0.08223086951284724,0.08314575404856267,0.08319362653214307,0.08279591891138194,0.05826873563665909,0.06258976448885241,0.06593196033052043,0.07219115216506472,0.07511823205834396,0.07928864716854822,0.08120344192302223,0.08187993613156148
2,1,0.07245342782598298,0.0817402208326294,0.08221589690896108,0.08274332448581337,0.08181916667486804,0.07086429938587258,0.07016795843972652,0.07022319199609141,0.07368397013424526,0.07623393549204288,0.07883687646044646,0.07993105165915006,0.08149215949539133
2,2,0.10176525285083858,0.08223086951284724,0.08298977331458418,0.08319362653214307,0.08279591891138194,0.08718111545298561,0.07289339632984249,0.07235205107788055,0.07468120663076153,0.0770901893485705,0.08012221412437794,0.08133575217805321,0.0823731551365972
3,1,0.0988971004024638,0.08210930846001734,0.08226652880099411,0.08277694790287671,0.0821348545171266,0.09696101592171284,0.09037944782024493,0.08787720463764567,0.07945373952862578,0.07994723149085908,0.08137275306057332,0.08060619895431755,0.0823843097487243
3,2,0.16650547115741815,0.08374866236449698,0.08311360014499745,0.08333028374778852,0.0833192037230138,0.14670675872147693,0.13100402219805768,0.12169570185116921,0.09493603168701349,0.09270645132666372,0.08683760096584198,0.08420398790349105,0.08441998046543343
4,1,0.11691044970287219,0.08349014057079604,0.08452300548456178,0.08412155120208978,0.08216511134956872,0.11591737731637287,0.11673283791285738,0.10706261295253942,0.09600075483573305,0.08898489277990691,0.08273123657544404,0.08612030610949713,0.08462306182785617
4,2,0.154997831455436,0.0881504475138468,0.08570756936266843,0.08379552882999082,0.08531022191170731,0.16293968446081805,0.1674863119709374,0.15248785910515777,0.1323550527261532,0.11786756845687334,0.09610441289331385,0.087464664645581,0.08887077785443592
5,1,0.11589697340785934,0.08534835606781489,0.08347199204744743,0.08409778845729832,0.08549298833418101,0.11312869503112567,0.1193168533743286,0.11244850057629399,0.10317582049619928,0.10417718621878704,0.09759603877119453,0.0921366995731359,0.08493626049872971
5,2,0.10411569392964919,0.08556755234706764,0.0839061788773733,0.0833210879099101,0.08387172586607232,0.11186769736788744,0.10883412894069498,0.11169919179560248,0.10902473222373471,0.10127162659139839,0.09560704934373564,0.09236088961733956,0.0877303420608858
6,1,0.105939686900723,0.0862938002641987,0.08579087506778196,0.08309044383440779,0.08564884415000665,0.1065359851916026,0.09999043060972829,0.101283293914139,0.09882030734686996,0.09788510065405194,0.09127004107055184,0.08900452967250778,0.0862187027758515
6,2,0.07537365029194883,0.08292354994787884,0.08319848436430864,0.08330715855679198,0.0833091598377228,0.07560804704431716,0.0766899048971209,0.0756078085644249,0.0800793494520755,0.08405683764766682,0.08470770202953021,0.08317998201880393,0.08328770910324396
7,1,0.08971003338198134,0.0851643301321869,0.08557975427677374,0.08313301877694257,0.08380010339939005,0.08766155472376735,0.08257156204226367,0.08516463735245774,0.09246947306675203,0.0866733309383726,0.08803326195012669,0.08449885270363035,0.08555848828053715
7,2,0.059060035613798995,0.08292911608906012,0.08298977331458418,0.08330715855679198,0.0845281195731057,0.06356343275376757,0.06588222521600581,0.0695064755177169,0.07511800658002722,0.0762259995598685,0.08033489851515464,0.08267806936420594,0.08203841859003466
8,1,0.07178414378066571,0.08588228553890263,0.08392527596211247,0.08418285995371115,0.0831007244038392,0.07423494768044664,0.07723417841605111,0.08011141074048728,0.08042848279297599,0.08117060659673213,0.08183781671320574,0.0843042123371235,0.08353767875975031
8,2,0.05706326704388356,0.08223086951284724,0.08298977331458418,0.08336372135428959,0.08288605562008647,0.059577520915576054,0.06354174228328371,0.06661407569875834,0.07284985987491036,0.07519016677723882,0.0796811774280999,0.08141104834452094,0.08187993613156148
9,1,0.06856747977841471,0.08179086343713744,0.08257635437851434,0.08316792024060062,0.08399452931191338,0.0684749287401464,0.07300894341663464,0.07411739232614951,0.07733606504284214,0.07801243485714073,0.08147625720173052,0.08295369066522726,0.08315978687172727
9,2,0.05637694719398771,0.08320013108361218,0.0829897733145842,0.08360692838372151,0.08279591891138194,0.05929864049594458,0.06307237440465478,0.0662441075557138,0.07219115216506472,0.07511823205834396,0.07928864716854823,0.08255183823591518,0.08187993613156148
